Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles,name,category,muscle_group,equipment,difficulty,instructions,calories_per_minute
Running,Cardio,Full Body,Dynamic,Beginner,,"Run at a comfortable pace, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Improves cardiovascular endurance.,Dynamic.,Warm-up,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",running,cardio,full body,nan,beginner,"Run at a comfortable pace, focusing on your full body.",8.0
Sprint,Cardio,Full Body,Dynamic,Beginner,,"Sprint at full speed, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Improves cardiovascular endurance.,Dynamic.,Warm-up,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",sprint,cardio,full body,nan,beginner,"Sprint at full speed, focusing on your full body.",8.0
Barbell Hang Clean,Strength,Full Body,Lift,Advanced,Barbell,"Lift the barbell from a hanging position to your shoulders, focusing on your full body.",Use different weights for variation.,Keep your core engaged and back straight.,Builds full body power and coordination.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",barbell hang clean,strength,full body,barbell,advanced,"Lift the barbell from a hanging position to your shoulders, focusing on your full body.",6.0
Smith Machine Lunge,Strength,Legs,Lunge,Intermediate,Smith Machine,"Perform lunges on a Smith machine, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength and coordination.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",smith machine lunge,strength,legs,smith machine,intermediate,"Perform lunges on a Smith machine, focusing on your legs.",6.0
Skater Squat,Strength,Legs,Squat,Intermediate,,"Perform a single leg squat while balancing like a skater, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",skater squat,strength,legs,nan,intermediate,"Perform a single leg squat while balancing like a skater, focusing on your legs.",6.0
Shoulder Pendulum,Flexibility,Shoulders,Swing,Beginner,,"Swing your arm like a pendulum, focusing on shoulder mobility.",Increase speed for more intensity.,Keep your core engaged.,Improves shoulder mobility.,Dynamic.,Cool down,Stability,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",shoulder pendulum,flexibility,shoulders,nan,beginner,"Swing your arm like a pendulum, focusing on shoulder mobility.",3.0
One Arm Push Ups With Support,Strength,Chest,Push,Intermediate,,"Perform a push-up with one arm while using the other arm for support, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",one arm push ups with support,strength,chest,nan,intermediate,"Perform a push-up with one arm while using the other arm for support, focusing on your chest.",6.0
Band Standing Chest Press,Strength,Chest,Press,Intermediate,Resistance Band,"Press the resistance band while standing, focusing on your chest.",Use different band resistances for variation.,Keep your core engaged and back straight.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",band standing chest press,strength,chest,resistance band,intermediate,"Press the resistance band while standing, focusing on your chest.",6.0
Shrimp Squat,Strength,Legs,Squat,Advanced,,"Perform a deep single leg squat with your other leg behind you, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and balance.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",shrimp squat,strength,legs,nan,advanced,"Perform a deep single leg squat with your other leg behind you, focusing on your legs.",6.0
90-Degree Cable External Rotation,Strength,Shoulders,Rotation,Intermediate,Cable Machine,"Rotate your shoulder externally with a cable, focusing on your rotator cuff.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder stability.,Controlled.,Main workout,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers",90-degree cable external rotation,strength,shoulders,cable machine,intermediate,"Rotate your shoulder externally with a cable, focusing on your rotator cuff.",6.0
90-degree Cable Internal Rotation,Strength,Shoulders,Rotation,Intermediate,Cable Machine,"Rotate your shoulder internally with a cable, focusing on your rotator cuff.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder stability.,Controlled.,Main workout,Stability,Subscapularis,Deltoids,"Infraspinatus, Teres Minor","Core, Scapular Stabilizers",90-degree cable internal rotation,strength,shoulders,cable machine,intermediate,"Rotate your shoulder internally with a cable, focusing on your rotator cuff.",6.0
Towel Leg Curl,Strength,Hamstrings,Curl,Intermediate,Towel,"Curl your legs using a towel while lying on your back, focusing on your hamstrings.",Increase speed for more intensity.,Keep your core engaged and back flat.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back",towel leg curl,strength,hamstrings,towel,intermediate,"Curl your legs using a towel while lying on your back, focusing on your hamstrings.",6.0
Single Leg Hip Thrust Jump,Strength,Glutes,Thrust,Advanced,,"Perform a hip thrust jump on one leg, focusing on your glutes.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds glute strength and power.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",single leg hip thrust jump,strength,glutes,nan,advanced,"Perform a hip thrust jump on one leg, focusing on your glutes.",6.0
Seated Chest Stretch,Flexibility,Chest,Stretch,Beginner,,"Stretch your chest while seated, focusing on flexibility.",Hold a weight plate for added resistance.,Keep your core engaged.,Improves chest flexibility.,Static.,Cool down,Stability,Pectorals,,Latissimus Dorsi,"Core, Scapular Stabilizers",seated chest stretch,flexibility,chest,nan,beginner,"Stretch your chest while seated, focusing on flexibility.",3.0
Seated Ballerina Exercise,Flexibility,Legs,Stretch,Beginner,,"Perform a ballerina stretch while seated, focusing on your legs.",Hold a weight plate for added resistance.,Keep your core engaged.,Improves leg flexibility.,Static.,Cool down,Stability,Hip Flexors,,Glutes,"Core, Lower Back",seated ballerina exercise,flexibility,legs,nan,beginner,"Perform a ballerina stretch while seated, focusing on your legs.",3.0
Seated Scapular Retraction Exercise,Strength,Back,Retract,Beginner,,"Retract your scapulae while seated, focusing on your back.",Increase speed for more intensity.,Keep your core engaged.,Builds back strength and stability.,Controlled.,Main workout,Stability,Rhomboids,,Pectorals,"Core, Scapular Stabilizers",seated scapular retraction exercise,strength,back,nan,beginner,"Retract your scapulae while seated, focusing on your back.",6.0
Foam Roller IT (iliotibial Band) Stretch,Flexibility,Legs,Roll,Beginner,Foam Roller,"Roll your IT band with a foam roller, focusing on your legs.",Increase roll time for more intensity.,Keep your core engaged.,Improves IT band flexibility.,Dynamic.,Cool down,Stability,Iliotibial Band,,,,foam roller it (iliotibial band) stretch,flexibility,legs,foam roller,beginner,"Roll your IT band with a foam roller, focusing on your legs.",3.0
Foam Roller Back Stretch,Flexibility,Back,Roll,Beginner,Foam Roller,"Roll your back with a foam roller, focusing on your back.",Increase roll time for more intensity.,Keep your core engaged.,Improves back flexibility.,Dynamic.,Cool down,Stability,Erector Spinae,,Rectus Abdominis,"Core, Lower Back",foam roller back stretch,flexibility,back,foam roller,beginner,"Roll your back with a foam roller, focusing on your back.",3.0
Foam Roller Rhomboids,Flexibility,Back,Roll,Beginner,Foam Roller,"Roll your rhomboids with a foam roller, focusing on your back.",Increase roll time for more intensity.,Keep your core engaged.,Improves back flexibility.,Dynamic.,Cool down,Stability,Rhomboids,,Pectorals,"Core, Scapular Stabilizers",foam roller rhomboids,flexibility,back,foam roller,beginner,"Roll your rhomboids with a foam roller, focusing on your back.",3.0
Foam Roller Glutes,Flexibility,Glutes,Roll,Beginner,Foam Roller,"Roll your glutes with a foam roller, focusing on your glutes.",Increase roll time for more intensity.,Keep your core engaged.,Improves glute flexibility.,Dynamic.,Cool down,Stability,Glutes,,Hip Flexors,"Core, Lower Back",foam roller glutes,flexibility,glutes,foam roller,beginner,"Roll your glutes with a foam roller, focusing on your glutes.",3.0
Foam Roller Quads,Flexibility,Quads,Roll,Beginner,Foam Roller,"Roll your quads with a foam roller, focusing on your quads.",Increase roll time for more intensity.,Keep your core engaged.,Improves quad flexibility.,Dynamic.,Cool down,Stability,Quadriceps,,Hamstrings,"Core, Lower Back",foam roller quads,flexibility,quads,foam roller,beginner,"Roll your quads with a foam roller, focusing on your quads.",3.0
Foam Roller Posterior Shoulder,Flexibility,Shoulders,Roll,Beginner,Foam Roller,"Roll your posterior shoulder with a foam roller, focusing on your shoulders.",Increase roll time for more intensity.,Keep your core engaged.,Improves shoulder flexibility.,Dynamic.,Cool down,Stability,Posterior Deltoid,,Anterior Deltoid,"Core, Scapular Stabilizers",foam roller posterior shoulder,flexibility,shoulders,foam roller,beginner,"Roll your posterior shoulder with a foam roller, focusing on your shoulders.",3.0
Foam Roller Chest Stretch,Flexibility,Chest,Stretch,Beginner,Foam Roller,"Stretch your chest with a foam roller, focusing on your chest.",Increase stretch time for more intensity.,Keep your core engaged.,Improves chest flexibility.,Static.,Cool down,Stability,Pectorals,,Latissimus Dorsi,"Core, Scapular Stabilizers",foam roller chest stretch,flexibility,chest,foam roller,beginner,"Stretch your chest with a foam roller, focusing on your chest.",3.0
Foam Roller Upper Back,Flexibility,Back,Roll,Beginner,Foam Roller,"Roll your upper back with a foam roller, focusing on your back.",Increase roll time for more intensity.,Keep your core engaged.,Improves upper back flexibility.,Dynamic.,Cool down,Stability,Erector Spinae,,Rectus Abdominis,"Core, Lower Back",foam roller upper back,flexibility,back,foam roller,beginner,"Roll your upper back with a foam roller, focusing on your back.",3.0
Foam Roller Lat Stretch,Flexibility,Back,Stretch,Beginner,Foam Roller,"Stretch your lats with a foam roller, focusing on your back.",Increase stretch time for more intensity.,Keep your core engaged.,Improves lat flexibility.,Static.,Cool down,Stability,Latissimus Dorsi,,Pectorals,"Core, Scapular Stabilizers",foam roller lat stretch,flexibility,back,foam roller,beginner,"Stretch your lats with a foam roller, focusing on your back.",3.0
Foam Roller Inner Thigh Adductor Stretch,Flexibility,Legs,Stretch,Beginner,Foam Roller,"Stretch your inner thighs with a foam roller, focusing on your legs.",Increase stretch time for more intensity.,Keep your core engaged.,Improves inner thigh flexibility.,Static.,Cool down,Stability,Adductors,,Abductors,"Core, Lower Back",foam roller inner thigh adductor stretch,flexibility,legs,foam roller,beginner,"Stretch your inner thighs with a foam roller, focusing on your legs.",3.0
Foam Roller Hamstrings,Flexibility,Hamstrings,Roll,Beginner,Foam Roller,"Roll your hamstrings with a foam roller, focusing on your hamstrings.",Increase roll time for more intensity.,Keep your core engaged.,Improves hamstring flexibility.,Dynamic.,Cool down,Stability,Hamstrings,,Quadriceps,"Core, Lower Back",foam roller hamstrings,flexibility,hamstrings,foam roller,beginner,"Roll your hamstrings with a foam roller, focusing on your hamstrings.",3.0
Foam Roller Front Shoulder and Chest,Flexibility,Shoulders,Stretch,Beginner,Foam Roller,"Stretch your front shoulders and chest with a foam roller, focusing on your shoulders.",Increase stretch time for more intensity.,Keep your core engaged.,Improves shoulder and chest flexibility.,Static.,Cool down,Stability,Pectorals,,Latissimus Dorsi,"Core, Scapular Stabilizers",foam roller front shoulder and chest,flexibility,shoulders,foam roller,beginner,"Stretch your front shoulders and chest with a foam roller, focusing on your shoulders.",3.0
Foam Roller Plantar Fasciitis,Flexibility,Feet,Roll,Beginner,Foam Roller,"Roll your feet with a foam roller, focusing on plantar fasciitis relief.",Increase roll time for more intensity.,Keep your core engaged.,Improves foot flexibility and relieves plantar fasciitis.,Dynamic.,Cool down,Stability,Plantar Fascia,,,,foam roller plantar fasciitis,flexibility,feet,foam roller,beginner,"Roll your feet with a foam roller, focusing on plantar fasciitis relief.",3.0
Foam Roller Calves,Flexibility,Calves,Roll,Beginner,Foam Roller,"Roll your calves with a foam roller, focusing on your calves.",Increase roll time for more intensity.,Keep your core engaged.,Improves calf flexibility.,Dynamic.,Cool down,Stability,Gastrocnemius,,Tibialis Anterior,"Core, Lower Back",foam roller calves,flexibility,calves,foam roller,beginner,"Roll your calves with a foam roller, focusing on your calves.",3.0
Rotator Cuff Stretch,Flexibility,Shoulders,Stretch,Beginner,,"Stretch your rotator cuff by holding your arm across your body, focusing on flexibility.",Increase stretch time for more intensity.,Keep your core engaged.,Improves shoulder flexibility.,Static.,Cool down,Stability,"Infraspinatus, Teres Minor",,Subscapularis,"Core, Scapular Stabilizers",rotator cuff stretch,flexibility,shoulders,nan,beginner,"Stretch your rotator cuff by holding your arm across your body, focusing on flexibility.",3.0
Assisted Reverse Stretch (Chest And Shoulder),Flexibility,Chest,Stretch,Beginner,,"Stretch your chest and shoulders with assistance, focusing on flexibility.",Increase stretch time for more intensity.,Keep your core engaged.,Improves chest and shoulder flexibility.,Static.,Cool down,Stability,Pectorals,,Latissimus Dorsi,"Core, Scapular Stabilizers",assisted reverse stretch (chest and shoulder),flexibility,chest,nan,beginner,"Stretch your chest and shoulders with assistance, focusing on flexibility.",3.0
Band Foot External Rotation,Strength,Hips,Rotation,Intermediate,Resistance Band,"Rotate your foot externally with a resistance band, focusing on your hips.",Use different band resistances for variation.,Keep your core engaged.,Builds hip strength and stability.,Controlled.,Main workout,Stability,Hip External Rotators,,Hip Internal Rotators,"Core, Lower Back",band foot external rotation,strength,hips,resistance band,intermediate,"Rotate your foot externally with a resistance band, focusing on your hips.",6.0
Lying Upper Body Rotation,Strength,Core,Rotation,Intermediate,,"Rotate your upper body while lying down, focusing on your core.",Increase speed for more intensity.,Keep your core engaged.,Builds core strength and stability.,Controlled.,Main workout,Stability,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",lying upper body rotation,strength,core,nan,intermediate,"Rotate your upper body while lying down, focusing on your core.",6.0
Lever Pullover,Strength,Back,Pull,Intermediate,Lever Machine,"Perform a pullover on a lever machine, focusing on your back.",Use different weights for variation.,Keep your core engaged and back flat.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,Pectorals,,"Core, Scapular Stabilizers",lever pullover,strength,back,lever machine,intermediate,"Perform a pullover on a lever machine, focusing on your back.",6.0
90/90 Hip Stretch,Flexibility,Hips,Stretch,Beginner,,"Stretch your hips in a 90/90 position, focusing on flexibility.",Increase stretch time for more intensity.,Keep your core engaged.,Improves hip flexibility.,Static.,Cool down,Stability,Hip Flexors,,Glutes,"Core, Lower Back",90/90 hip stretch,flexibility,hips,nan,beginner,"Stretch your hips in a 90/90 position, focusing on flexibility.",3.0
One Arm Chin-Up,Strength,Back,Pull,Advanced,,"Pull yourself up with one arm, focusing on your back.",Use a resistance band for assistance.,Keep your core engaged and back straight.,Builds back and arm strength.,Controlled.,Main workout,Strength,Biceps,Latissimus Dorsi,Triceps,"Core, Scapular Stabilizers",one arm chin-up,strength,back,nan,advanced,"Pull yourself up with one arm, focusing on your back.",6.0
Scapula Pull-up,Strength,Back,Pull,Intermediate,,"Perform a pull-up focusing on scapula retraction, engaging your back.",Increase speed for more intensity.,Keep your core engaged.,Builds back strength and scapula stability.,Controlled.,Main workout,Strength,Serratus Anterior,,Rhomboids,"Core, Scapular Stabilizers",scapula pull-up,strength,back,nan,intermediate,"Perform a pull-up focusing on scapula retraction, engaging your back.",6.0
Archer Pull-up,Strength,Back,Pull,Advanced,,"Pull yourself up to one side with one arm while the other remains extended, focusing on your back.",Use a resistance band for assistance.,Keep your core engaged and back straight.,Builds back and arm strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",archer pull-up,strength,back,nan,advanced,"Pull yourself up to one side with one arm while the other remains extended, focusing on your back.",6.0
Jumping Pull-up,Cardio,Full Body,Dynamic,Intermediate,,"Jump into a pull-up, focusing on your full body.",Increase speed for more intensity.,Keep your core engaged.,Builds cardiovascular endurance and back strength.,Dynamic.,Warm-up,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",jumping pull-up,cardio,full body,nan,intermediate,"Jump into a pull-up, focusing on your full body.",8.0
Commando Pull-up,Strength,Back,Pull,Advanced,Pull-up Bar,"Perform pull-ups with your hands overhand and underhand, focusing on your back.",Use a resistance band for assistance.,Keep your core engaged and back straight.,Builds back and arm strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",commando pull-up,strength,back,pull-up bar,advanced,"Perform pull-ups with your hands overhand and underhand, focusing on your back.",6.0
Behind The Neck Pull-up,Strength,Back,Pull,Advanced,Pull-up Bar,"Perform pull-ups behind your neck, focusing on your back.",Use a resistance band for assistance.,Keep your core engaged and back straight.,Builds back and arm strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",behind the neck pull-up,strength,back,pull-up bar,advanced,"Perform pull-ups behind your neck, focusing on your back.",6.0
Lever Decline Chest Press,Strength,Chest,Press,Intermediate,Lever Machine,"Perform a chest press on a lever machine, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back flat.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",lever decline chest press,strength,chest,lever machine,intermediate,"Perform a chest press on a lever machine, focusing on your chest.",6.0
Cable One-Arm Pulldown,Strength,Back,Pull,Intermediate,Cable Machine,"Pull down the cable with one arm, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back and arm strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",cable one-arm pulldown,strength,back,cable machine,intermediate,"Pull down the cable with one arm, focusing on your back.",6.0
Bicycle Twisting Crunch,Strength,Core,Twist,Beginner,,"Perform crunches while twisting your body, focusing on your obliques.",Increase speed for more intensity.,Keep your core tight and lower back pressed to the floor.,Builds core strength.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",bicycle twisting crunch,strength,core,nan,beginner,"Perform crunches while twisting your body, focusing on your obliques.",6.0
Decline Close-Grip Bench To Skull Crusher,Strength,Triceps,Push,Intermediate,Barbell,"Perform a close-grip bench press followed by a skull crusher, focusing on your triceps.",Use different weights for variation.,Keep your core engaged and back flat.,Builds tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",decline close-grip bench to skull crusher,strength,triceps,barbell,intermediate,"Perform a close-grip bench press followed by a skull crusher, focusing on your triceps.",6.0
Barbell Decline Bent Arm Pullover,Strength,Back,Pull,Intermediate,Barbell,"Perform a bent arm pullover on a decline bench, focusing on your back.",Use different weights for variation.,Keep your core engaged and back flat.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,Pectorals,,"Core, Scapular Stabilizers",barbell decline bent arm pullover,strength,back,barbell,intermediate,"Perform a bent arm pullover on a decline bench, focusing on your back.",6.0
Stiff Leg Deadlift,Strength,Hamstrings,Lift,Intermediate,Barbell,"Lift the barbell with stiff legs, focusing on your hamstrings.",Use different weights for variation.,Keep your core engaged and back straight.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back",stiff leg deadlift,strength,hamstrings,barbell,intermediate,"Lift the barbell with stiff legs, focusing on your hamstrings.",6.0
Dead Hang,Strength,Back,Hang,Beginner,Pull-up Bar,"Hang from a pull-up bar, focusing on your back and grip.",Increase hang time for more intensity.,Keep your core engaged.,Builds back and grip strength.,Static.,Cool down,Strength,Forearm Flexors,,,"Core, Scapular Stabilizers",dead hang,strength,back,pull-up bar,beginner,"Hang from a pull-up bar, focusing on your back and grip.",6.0
Kneeling Back Rotation,Strength,Back,Rotation,Beginner,,"Rotate your back while kneeling, focusing on your back.",Increase speed for more intensity.,Keep your core engaged.,Builds back strength and stability.,Controlled.,Main workout,Stability,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",kneeling back rotation,strength,back,nan,beginner,"Rotate your back while kneeling, focusing on your back.",6.0
Serratus Wall Slide With Foam Roller,Flexibility,Shoulders,Slide,Beginner,Foam Roller,"Slide your arms up the wall with a foam roller, focusing on your shoulders.",Increase speed for more intensity.,Keep your core engaged.,Improves shoulder mobility.,Controlled.,Cool down,Stability,Serratus Anterior,,Rhomboids,"Core, Scapular Stabilizers",serratus wall slide with foam roller,flexibility,shoulders,foam roller,beginner,"Slide your arms up the wall with a foam roller, focusing on your shoulders.",3.0
Fish Pose,Flexibility,Back,Stretch,Beginner,,"Perform a fish pose, focusing on your back.",Hold a weight plate for added resistance.,Keep your core engaged.,Improves back flexibility.,Static.,Cool down,Stability,Erector Spinae,Glutes,Rectus Abdominis,"Core, Lower Back",fish pose,flexibility,back,nan,beginner,"Perform a fish pose, focusing on your back.",3.0
Hands In Air Dead Bug,Strength,Core,Hold,Beginner,,"Perform a dead bug exercise with your hands in the air, focusing on your core.",Increase speed for more intensity.,Keep your core engaged and back flat.,Builds core strength.,Controlled.,Main workout,Stability,Rectus Abdominis,,Erector Spinae,"Core, Lower Back",hands in air dead bug,strength,core,nan,beginner,"Perform a dead bug exercise with your hands in the air, focusing on your core.",6.0
Cross Body Push-up,Strength,Chest,Push,Intermediate,,"Perform a push-up while crossing your body, focusing on your chest.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",cross body push-up,strength,chest,nan,intermediate,"Perform a push-up while crossing your body, focusing on your chest.",6.0
Wall Supported Arm Raises,Flexibility,Shoulders,Raise,Beginner,,"Raise your arms while leaning against a wall, focusing on your shoulders.",Increase speed for more intensity.,Keep your core engaged.,Improves shoulder mobility.,Controlled.,Cool down,Stability,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",wall supported arm raises,flexibility,shoulders,nan,beginner,"Raise your arms while leaning against a wall, focusing on your shoulders.",3.0
Backhand Raise,Strength,Shoulders,Raise,Beginner,,"Raise your arms back like a backhand motion, focusing on your shoulders.",Increase speed for more intensity.,Keep your core engaged.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",backhand raise,strength,shoulders,nan,beginner,"Raise your arms back like a backhand motion, focusing on your shoulders.",6.0
4 Point Tummy Vacuum Exercise,Strength,Core,Vacuum,Beginner,,"Perform a tummy vacuum exercise on all fours, focusing on your core.",Increase hold time for more intensity.,Keep your core engaged and back flat.,Builds core strength and stability.,Static.,Main workout,Stability,Transverse Abdominis,,,"Core, Lower Back",4 point tummy vacuum exercise,strength,core,nan,beginner,"Perform a tummy vacuum exercise on all fours, focusing on your core.",6.0
Isometric Pull-Up,Strength,Back,Pull,Intermediate,Pull-up Bar,"Hold a pull-up position, focusing on your back and arms.",Increase hold time for more intensity.,Keep your core engaged and back straight.,Builds back and arm strength.,Static.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",isometric pull-up,strength,back,pull-up bar,intermediate,"Hold a pull-up position, focusing on your back and arms.",6.0
Dumbbell Preacher Hammer (Scott) Curl,Strength,Biceps,Curl,Intermediate,Dumbbell,"Perform a hammer curl on a preacher bench, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength.,Controlled.,Main workout,Strength,Brachialis,Biceps,Triceps,"Core, Scapular Stabilizers",dumbbell preacher hammer (scott) curl,strength,biceps,dumbbell,intermediate,"Perform a hammer curl on a preacher bench, focusing on your biceps.",6.0
One Arm Prone Dumbbell Curl,Strength,Biceps,Curl,Intermediate,Dumbbell,"Perform a curl with one arm while lying face down, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",one arm prone dumbbell curl,strength,biceps,dumbbell,intermediate,"Perform a curl with one arm while lying face down, focusing on your biceps.",6.0
Dumbbell Alternate Preacher Curl,Strength,Biceps,Curl,Intermediate,Dumbbell,"Perform preacher curls alternately with dumbbells, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",dumbbell alternate preacher curl,strength,biceps,dumbbell,intermediate,"Perform preacher curls alternately with dumbbells, focusing on your biceps.",6.0
Two Dumbbell Preacher Curl,Strength,Biceps,Curl,Intermediate,Dumbbell,"Perform preacher curls with two dumbbells, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",two dumbbell preacher curl,strength,biceps,dumbbell,intermediate,"Perform preacher curls with two dumbbells, focusing on your biceps.",6.0
Seated Flutter Kick,Strength,Core,Kick,Beginner,,"Perform flutter kicks while seated, focusing on your core.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds core strength.,Dynamic.,Main workout,Strength,Hip Flexors,Rectus Abdominis,Glutes,"Core, Lower Back",seated flutter kick,strength,core,nan,beginner,"Perform flutter kicks while seated, focusing on your core.",6.0
Seated Cable Twist,Strength,Core,Twist,Intermediate,Cable Machine,"Twist your torso while seated with a cable, focusing on your obliques.",Use different weights for variation.,Keep your core engaged and back straight.,Builds core strength and stability.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",seated cable twist,strength,core,cable machine,intermediate,"Twist your torso while seated with a cable, focusing on your obliques.",6.0
Dumbbell Seated Cuban Press,Strength,Shoulders,Press,Intermediate,Dumbbell,"Perform a Cuban press while seated, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell seated cuban press,strength,shoulders,dumbbell,intermediate,"Perform a Cuban press while seated, focusing on your shoulders.",6.0
Kneeling Cable Shoulder Press,Strength,Shoulders,Press,Intermediate,Cable Machine,"Perform a shoulder press while kneeling with a cable, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",kneeling cable shoulder press,strength,shoulders,cable machine,intermediate,"Perform a shoulder press while kneeling with a cable, focusing on your shoulders.",6.0
Flexor Incline Dumbbell Curls,Strength,Biceps,Curl,Intermediate,Dumbbell,"Perform curls on an incline bench, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",flexor incline dumbbell curls,strength,biceps,dumbbell,intermediate,"Perform curls on an incline bench, focusing on your biceps.",6.0
Dip Shrugs (Serratus Shrugs),Strength,Traps,Shrug,Intermediate,Parallel Bars,"Perform shrugs on parallel bars, focusing on your traps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds trap strength.,Controlled.,Main workout,Stability,Serratus Anterior,,Rhomboids,"Core, Scapular Stabilizers",dip shrugs (serratus shrugs),strength,traps,parallel bars,intermediate,"Perform shrugs on parallel bars, focusing on your traps.",6.0
